OPEID6,INSTNM,C150_4,ADM_RATE,SATVR25,SATMT25,COSTT4_A,NPT4_PUB,NPT4_PRIV,UGDS,LOCALE,CITY,STABBR,PCIP27,PCIP52,CIP27BACHL,CIP52BACHL
3944,University of Puerto Rico-Mayaguez,0.5236,0.5652,,,21637,17936,,9539,13,Mayaguez,PR,0.002,0.0815,1,1
24600,University of Puerto Rico-Medical Sciences,,,,,,,,233,11,San Juan,PR,,,,
9652,University of Puerto Rico at Ponce,0.6583,0.5245,,,17193,10990,,2278,12,Ponce,PR,,0.2403,,1
7108,University of Puerto Rico-Rio Piedras,,0.5459,,,15118,9175,,8572,11,San Juan,PR,0.0016,0.2213,1,1
3941,Universidad A G. Mendez-Caroli Campus,0.75,,,,14113,,7761,4468,21,Caroli,PR,,0.1794,,1
3937,Universidad del Sagrado Corazon,0.516,0.5802,,,19728,,12924,4442,11,Santurce,PR,,0.1402,1,1
21000,Universidad Politecnica de Puerto Rico,0.3953,,,,23368,,17540,3594,11,Hato Rey,PR,,0.067,,1
3936,Pontifical Catholic University of Puerto Rico-Mayaguez,0.4679,0.9917,,,18605,,11502,555,13,Mayaguez,PR,,0.2241,,1
11719,Universidad A G. Mendez-Gurabo Campus,0.3688,,,,14224,,7051,7868,21,Gurabo,PR,,0.1282,,1
23053,Parker University,0.4518,,,,42167,,29135,607,11,Dallas,TX,,0.0044,,2
2093,St. John's College,,0.5315,680,610,55824,,26674,368,41,Santa Fe,NM,,,,
26229,Bais Medrash Elyon,,0.375,,,19500,,8447,61,21,Monsey,NY,,,,
3010,Antioch University-Los Angeles,0.1735,,,,,,,60,21,Culver City,CA,,,,
3010,Antioch University-Santa Barbara,0.4514,,,,,,,55,13,Santa Barbara,CA,,0.2069,,1
3010,Antioch University,,,,,,,,77,41,Yellow Springs,OH,,0.119,,1
6942,Mid-America Christian University,0.5146,0.9176,,,31313,,16692,1666,11,Oklahoma City,OK,0.0066,0.299,1,2
25326,Landmark College,,0.4944,,,83124,,56954,455,42,Putney,VT,,0.069,,
23638,Yeshiva Gedolah of Greater Detroit,0.7297,0.9,,,19682,,11746,75,21,Oak Park,MI,,,,
13039,South University-Columbia,,,,,35322,,27693,450,21,Columbia,SC,,0.087,,2
41618,University of Massachusetts Global,,,,,35325,32654,,4491,21,Aliso Viejo,CA,,0.3157,,2
32563,Yeshivah Gedolah Rabbinical College,0.12,,,,19300,,12587,60,13,Miami Beach,FL,,,,
12525,Caribbean University-Ponce,,,,,10000,,4964,414,12,Ponce,PR,,0.0727,,1
12525,Caribbean University-Vega Baja,0.2993,,,,9936,,5235,152,21,Vega Baja,PR,,0.2424,,1
25590,University of Advancing Technology,0.5342,0.9806,,,32794,,28522,855,12,Tempe,AZ,,0.0514,,2
30113,California State University-San Marcos,,0.951,,,21649,10229,,14877,21,San Marcos,CA,0.0079,0.1623,1,1
25782,Nossi College of Art and Design,0.5254,0.4631,,,27710,,24044,247,11,shville,TN,,,,
30001,Yeshiva Gedolah Imrei Yosef D'spinka,0.5701,,,,15989,,5646,226,11,Brooklyn,NY,,,,
26021,Northwest College of Art & Design,0.6456,0.6598,,,30038,,16418,139,12,Tacoma,WA,,,,
23608,Provo College,0.5136,,,,30099,,27053,669,12,Provo,UT,,,,
33733,Beacon College,0.2827,0.4347,,,70775,,53517,506,22,Leesburg,FL,,0.2833,,1
